cell type	official gene symbol	nicknames
Acinar cells	CTRB1	CTRB
Acinar cells	KLK1	Klk6
Acinar cells	RBPJL	RBP-L|SUHL|RBPSUHL
Acinar cells	PTF1A	PTF1-p48|bHLHa29
Acinar cells	TRY4	NA
Acinar cells	CELA3A	ELA3|ELA3A
Acinar cells	PRSS1	TRY1
Acinar cells	AMY2A2	NA
Acinar cells	SPINK1	Spink3|PCTT|PSTI|TATI
Acinar cells	ZG16	hZG16|JCLN1|ZG16A|JCLN
Acinar cells	CEL	BSSL|MODY8
Acinar cells	CELA2A	ELA2A
Acinar cells	AMY2A3	NA
Acinar cells	CPB1	NA
Acinar cells	CELA1	ELA1
Acinar cells	AMY2A5	NA
Acinar cells	RNASE1	RAC1|RNS1
Acinar cells	AMY2B	NA
Acinar cells	CPA2	NA
Acinar cells	CPA1	CPA
Acinar cells	CELA3B	CBPP|ELA3B
Acinar cells	PNLIP	NA
Acinar cells	CTRB2	NA
Acinar cells	PLA2G1B	PLA2|PPLA2|PLA2A
Acinar cells	PRSS2	TRY2
Acinar cells	CLPS	NA
Acinar cells	REG1A	PSPS|PSPS1|REG
Acinar cells	SYCN	SYL|FLJ27441|INSSA1
Acinar cells	PNLIPRP1	PLRP1
Acinar cells	CTRC	CLCR|ELA4
Acinar cells	REG3A	REG-III|REG3|PBCGF
Acinar cells	SERPINA3	AACT
Acinar cells	PRSS3	TRY4|PRSS4
Acinar cells	REG1B	PSPS2|REGH|REGI-BETA
Acinar cells	CFB	H2-Bf|BFD|BF
Acinar cells	GDF15	PLAB|MIC-1|PDF|NAG-1|PTGFB
Acinar cells	MUC1	CD227|PEM|ADMCKD|ADMCKD1|MCKD|MCKD1
Acinar cells	C15ORF48	NMES1|MIR147BHG
Acinar cells	DUOXA2	NA
Acinar cells	AKR1C3	KIAA0119|DDX|HAKRB|PGFS|HSD17B5
Acinar cells	OLFM4	OlfD|GW112
Acinar cells	GSTA1	NA
Acinar cells	LGALS2	HL14
Acinar cells	PDZK1IP1	DD96|MAP17|SPAP
Acinar cells	RARRES2	TIG2|HP10433
Acinar cells	CXCL17	Dcip1|UNQ473|VCC1
Acinar cells	UBD	FAT10
Acinar cells	GSTA2	GST2
Acinar cells	ANPEP	gp150|CD13|PEPN
Acinar cells	LYZ	NA
Acinar cells	ANGPTL4	pp1158|PGAR|ARP4|HFARP|FIAF
Acinar cells	ALDOB	NA
Adipocyte progenitor cells	CEBPA	C/EBP-alpha|CEBP
Adipocyte progenitor cells	EGFR	ERBB1|ERBB
Adipocyte progenitor cells	FGF10	NA
Adipocyte progenitor cells	GSC	NA
Adipocyte progenitor cells	MMP3	STMY1|STMY
Adipocyte progenitor cells	PPARG	PPARG1|PPARG2|NR1C3|PPARgamma
Adipocyte progenitor cells	TWIST2	DERMO1|Dermo-1|bHLHa39
Adipocyte progenitor cells	GATA3	HDR
Adipocyte progenitor cells	GLI1	GLI
Adipocyte progenitor cells	SMO	FZD11|SMOH
Adipocyte progenitor cells	STAB1	KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2
Adipocyte progenitor cells	WISP2	CTGF-L|CCN5
Adipocyte progenitor cells	WT1	WIT-2|AWT1|NPHS4|GUD
Adipocyte progenitor cells	SCARA5	FLJ23907|MGC45780|NET33
Adipocyte progenitor cells	HOXC8	HOX3A
Adipocyte progenitor cells	TCF7L1	TCF3
Adipocyte progenitor cells	HOXC9	HOX3B
Adipocyte progenitor cells	HOXC6	HOX3C
Adipocyte progenitor cells	HOXC4	HOX3E
Adipocyte progenitor cells	ZNF521	EHZF|Evi3
Adipocyte progenitor cells	SULT1E1	STE
Adipocyte progenitor cells	EBF2	FLJ11500|COE2
Adipocyte progenitor cells	NRG4	NA
Adipocytes	SLC36A2	PAT2|tramdorin|TRAMD1
Adipocytes	P2RX5	P2X5
Adipocytes	LEP	OBS
Adipocytes	UCP1	SLC25A7|UCP
Adipocytes	CIDEA	CIDE-A
Adipocytes	PRDM16	MEL1|PFM13|KIAA1675|MGC166915|KMT8F
Adipocytes	LHX8	Lhx7
Adipocytes	EPSTI1	BRESI1|MGC29634
Adipocytes	MC2R	ACTHR
Adipocytes	FFAR2	FFA2R|GPR43
Adipocytes	PIKFYVE	MGC40423|KIAA0981|PIKfyve|PIP5K|p235|ZFYVE29|FAB1|PIP5K3
Adipocytes	CYP11B2	CYP11BL|P-450C18|P450aldo|ALDOS
Adipocytes	TLR2	TIL4|CD282
Adipocytes	TLR4	hToll|CD284|TLR-4|ARMD10
Adipocytes	ADRB1	ADRB1R
Adipocytes	ADRB2	ADRBR|B2AR|ADRB2R
Adipocytes	ADRB3	NA
Adipocytes	FABP4	A-FABP|aP2
Adipocytes	TNFRSF9	CD137|4-1BB|ILA
Adipocytes	TBX1	VCF
Adipocytes	TMEM26	MGC35010|Em:AC068892.1
Adipocytes	TCF21	POD1|bHLHa23
Adipocytes	ADIPOQ	ACRP30|AdipoQ|apM1|GBP28|adiponectin|ACDC
Adipocytes	CFD	ADN|DF|PFD
Adipocytes	ACVR1C	ALK7|ACVRLK7
Adipocytes	SLC2A4	GLUT4
Adipocytes	LPIN1	KIAA0188
Adipocytes	PLIN1	PLIN
Adipocytes	PCK1	PEPCK-C
Adipocytes	PPARG	PPARG1|PPARG2|NR1C3|PPARgamma
Adipocytes	RETN	FIZZ3|ADSF|RETN1
Adipocytes	MEST	PEG1
Adipocytes	ADM2	AM2|FLJ21135
Adipocytes	STAT6	D12S1644|IL-4-STAT
Adipocytes	TFE3	TFEA|bHLHe33
Adipocytes	CPPED1	CSTP1|FLJ11151
Adipocytes	APPL2	FLJ10659|DIP13B
Adipocytes	APOL6	APOL-VI|APOLVI
Adipocytes	PXMP2	PMP22
Adipocytes	CAVIN1	cavin-1|CGL4|PTRF
Adipocytes	AGT	SERPINA8
Adipocytes	SLC1A5	AAAT|ASCT2|RDRC|M7V1
Adipocytes	ACSL1	LACS|ACS1|LACS1|FACL1|FACL2
Adipocytes	CAR3	NA
Adipocytes	BCAT2	BCAM|BCT2
Adipocytes	PNPLA2	desnutrin|TTS-2.2|ATGL|FP17548|iPLA2zeta
Adipocytes	CIDEC	CIDE-3|FLJ20871|Fsp27
Adipocytes	CDO1	NA
Adipocytes	APOC1	NA
Adipocytes	MMP2	TBE-1|CLG4|CLG4A
Adipocytes	POSTN	OSF-2|PN|periostin
Adipocytes	LOX	NA
Adipocytes	COL6A2	NA
Adipocytes	ZBTB16	PLZF|ZNF145
Adipocytes	GULP1	CED6|CED-6|GULP
Adipocytes	FZD4	CD344
Adipocytes	TRIP10	HSTP|CIP4|STOT
Adipocytes	FGF7	KGF
Adipocytes	MAOB	NA
Adipocytes	SOCS1	SOCS-1|SSI-1|JAB|TIP3|Cish1
Adipocytes	ARNT	HIF-1beta|bHLHe2
Adipocytes	SULT1A1	P-PST|STP1
Adipocytes	NNMT	NA
Adipocytes	AOC3	VAP1|HPAO|VAP-1
Adipocytes	H6PD	NA
Adipocytes	CYP27A1	CTX|CYP27
Adipocytes	EBF2	FLJ11500|COE2
Adipocytes	MNDA	PYHIN3
Adipocytes	HSD11B1	SDR26C1|HSD11B|HSD11
Adipocytes	AR	AIS|NR3C4|SMAX1|HUMARA|DHTR|SBMA
Adipocytes	GDF10	BMP-3b
Adipocytes	CYP1B1	CP1B|GLC3A
Adipocytes	COL5A3	NA
Adipocytes	STEAP4	FLJ23153|TIARP|STAMP2|SchLAH|TNFAIP9
Adipocytes	CCL11	eotaxin|MGC22554|SCYA11
Adipocytes	NR1H3	LXR-a|RLD-1|LXRa
Adipocytes	DEPTOR	DEP.6|FLJ12428|DEPDC6
Adipocytes	CYTH3	GRP1|ARNO3|cytohesin-3|PSCD3
Adipocytes	TUSC5	NA
Adipocytes	FMO1	NA
Adipocytes	ACADSB	SBCAD|ACAD7
Adipocytes	XDH	XOR|XO
Adipocytes	RSPO3	FLJ14440|THSD2
Adipocytes	PTGES	MGST-IV|PIG12|MGST1-L1|TP53I12|MGST1L1
Adipocytes	CREB3L1	OASIS
Adipocytes	ANGPTL2	NA
Adipocytes	ADAM12	MCMPMltna|MLTN
Adipocytes	ADH1	NA
Adipocytes	LBP	BPIFD2
Adipocytes	NMB	MGC2277|MGC3936|MGC17211
Adipocytes	RARRES2	TIG2|HP10433
Adipocytes	FST	NA
Adipocytes	EGFR	ERBB1|ERBB
Adipocytes	CPXM1	CPX-1|CPX1|CPXM
Adipocytes	C3	CPAMD1|ARMD9|C3a|C3b
Adipocytes	ADAMTS5	ADMP-2|ADAMTS11
Adipocytes	MT2A	MT2
Adipocytes	TIMP1	TIMP|CLGI
Adipocytes	METRN	MGC2601|C16orf23
Adipocytes	METRNL	NA
Adipocytes	MYO1C	myr2
Adipocytes	NQO1	DHQU|QR1|NMOR1|DIA4
Adipocytes	SYAP1	FLJ14495|PRO3113
Adipocytes	CRNDE	LOC643911|LINC00180|CRNDEP
Adipocytes	AQP5	NA
Adipocytes	TSPO	PBR|MBR|PKBS|mDRC|DBI|pk18|BZRP
Adipocytes	AZGP1	ZA2G|ZAG
Adipocytes	LRP1	CD91|LRP1A|APOER|A2MR|IGFBP3R1
Adipocytes	PDE3B	HcGIP1
Adipocytes	LGALS12	NA
Adipocytes	SERPINF1	EPC-1|PIG35|PEDF
Adipocytes	CPT1B	M-CPT1|CPT1-M
Adipocytes	ELOVL3	CIG-30
Adipocytes	PPARGC1A	PGC1|PGC1A|PGC-1alpha|PPARGC1
Adipocytes	MPZL1	PZR|FLJ21047
Adipocytes	CITED1	MSG1
Adipocytes	DPT	NA
Adipocytes	HOXC9	HOX3B
Adipocytes	ZNF423	KIAA0760|hOAZ|Ebfaz|Zfp104|NPHP14|JBTS19
Adipocytes	ESM1	NA
Adrenergic neurons	TH	DYT5b
Adrenergic neurons	DDC	AADC
Adrenergic neurons	DBH	DBM
Adrenergic neurons	PNMT	PENT
Adrenergic neurons	SLC18A2	SVMT|SVAT|VMAT2
Adrenergic neurons	NPFF	FMRFAL
Adrenergic neurons	SLC12A7	KCC4|DKFZP434F076
Adrenergic neurons	SYT1	SVP65
Airway epithelial cells	AQP1	CHIP28|CO
Airway epithelial cells	ADH7	ADH-4
Airway epithelial cells	CDH1	uvomorulin|CD324|UVO
Airway epithelial cells	SEC14L3	TAP2
Airway goblet cells	MUC5B	MG1
Airway goblet cells	MUC16	FLJ14303
Airway goblet cells	LTF	HLF2
Airway goblet cells	SCGB3A1	UGRP2|HIN-1|HIN1|LU105|PnSP-2
Airway goblet cells	DCPP1	NA
Airway goblet cells	DMBT1	GP340|muclin|SALSA|Gp-340|hensin|vomeroglandin
Airway goblet cells	WFDC18	NA
Airway goblet cells	DCPP3	NA
Airway goblet cells	LIPF	NA
Airway goblet cells	DCPP2	NA
Airway goblet cells	MSLN	MPF
Airway goblet cells	AGR2	XAG-2|HAG-2|PDIA17
Airway goblet cells	GP2	ZAP75
Airway goblet cells	PIGR	NA
Airway goblet cells	TFF2	SML1
Airway goblet cells	AQP5	NA
Airway goblet cells	CBR2	NA
Airway goblet cells	QSOX1	QSCN6
Airway goblet cells	FXYD3	MAT-8|PLML
Airway goblet cells	SEC23B	CDA-II|CDAII|HEMPAS|CDAN2
Airway goblet cells	CEACAM1	BGP1|CD66a|BGP
Airway goblet cells	GOLPH3	GPP34|GOPP1|MIDAS|Vps74
Airway goblet cells	GGH	NA
Airway goblet cells	GALNT5	GalNAc-T5
Airway goblet cells	GALNT6	GalNAc-T6
Airway goblet cells	MUC5AC	NA
Airway goblet cells	MUC4	NA
Airway goblet cells	MUC20	FLJ14408|KIAA1359
Airway goblet cells	SPDEF	PDEF|bA375E1.3
Airway goblet cells	DUSP4	HVH2|MKP-2|TYP
Airway smooth muscle cells	NOG	SYNS1
Airway smooth muscle cells	ACTA2	ACTSA
Airway smooth muscle cells	FOXF1	FREAC1|FKHL5
Airway smooth muscle cells	GATA5	bB379O24.1|GATAS
Alpha cells	GCG	GLP2|GRPP
Alpha cells	TTR	HsT2651|CTS|PALB|CTS1
Alpha cells	GLP1R	GLP-1R
Alpha cells	ARX	ISSX|CT121|EIEE1|MRXS1|PRTS|MRX76|MRX54|MRX43|MRX36|MRX29|MRX32|MRX33|MRX38|MRX87
Alpha cells	POU3F4	BRN4|OTF9|DFNX2|DFN3
Alpha cells	NKX2-2	NKX2.2|NKX2B
Alpha cells	RESP18	NA
Alpha cells	PYY	PYY1
Alpha cells	PCSK2	SPC2|NEC2
Alpha cells	SLC38A5	SN2|JM24
Alpha cells	TM4SF4	il-TMP
Alpha cells	CRYBA2	NA
Alpha cells	NKX6-1	Nkx6.1|NKX6A
Alpha cells	KCNK16	K2p16.1|TALK-1|TALK1
Alpha cells	PCSK1	PC1|NEC1
Alpha cells	PRRG2	PRGP2
Alpha cells	IRX2	NA
Alpha cells	ALDH1A1	RALDH1|PUMB1|ALDH1
Alpha cells	PEMT	PEMPT|PEMT2
Alpha cells	CHGA	NA
Alpha cells	DEPP1	DEPP|Fseg|C10orf10
Alpha cells	SMIM24	HSPC323|C19orf77
Alpha cells	F10	NA
Alpha cells	SCGN	SECRET|DJ501N12.8|SEGN|CALBL
Alpha cells	SLC30A8	ZnT-8
Alpha cells	SH3GL2	SH3P4|SH3D2A|CNSA2|EEN-B1
Alpha cells	SCGB2A1	UGB3|LPHC|MGC71973|MGB2
Alpha cells	FAP	NA
Alpha cells	DPP4	CD26|ADCP2
Alpha cells	GPR119	hGPCR2|GPCR2
Alpha cells	MAFB	KRML
Alpha cells	PAX6	D11S812E|AN2
Alpha cells	NEUROD1	BETA2|BHF-1|NeuroD|bHLHa3|MODY6|NEUROD
Alpha cells	LOXL4	FLJ21889|LOXC
Alpha cells	PLCE1	KIAA1516|NPHS3
Alpha cells	GC	VDBP|hDBP
Alpha cells	KLHL41	SARCOSIN|Krp1|KBTBD10
Alpha cells	FEV	Pet-1
Alpha cells	PTGER3	EP3
Alpha cells	RFX6	MGC33442|dJ955L16.1|RFXDC1
Alpha cells	SMARCA1	NURF140|SWI|hSNF2L|SNF2L1|SNF2L
Alpha cells	PGR	NR3C3
Alpha cells	LDB2	LDB1
Alpha cells	IRX1	IRX-5
Alpha cells	UCP2	SLC25A8|BMIQ4
Alpha cells	FXYD5	OIT2
Alpha cells	RGS4	SCZD9
Alpha cells	GLS	KIAA0838|GLS1
Alveolar macrophages	CHIL3	NA
Alveolar macrophages	PLET1	C11orf34
Alveolar macrophages	IL1B	IL1F2|IL-1B|IL1-BETA
Alveolar macrophages	WFDC21	NA
Alveolar macrophages	BGLAP3	NA
Alveolar macrophages	CCL3	G0S19-1|LD78ALPHA|MIP-1-alpha|SCYA3
Alveolar macrophages	G0S2	NA
Alveolar macrophages	CXCL2	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2
Alveolar macrophages	MCEMP1	MGC132456|C19orf59
Alveolar macrophages	KLHDC4	DKFZp434G0522
Alveolar macrophages	BCL2A1D	NA
Alveolar macrophages	GDA	NA
Alveolar macrophages	CLEC7A	dectin-1|hDectin-1|CD369|SCARE2|CLECSF12
Alveolar macrophages	BCL2A1B	NA
Alveolar macrophages	ITGAX	CD11c|CD11C
Alveolar macrophages	TNFAIP2	B94|EXOC3L3
Alveolar macrophages	CD36	SCARB3|GPIV|GP4|GP3B
Alveolar macrophages	GAL	GMAP|GAL-GMAP|GLNN|GALN
Alveolar macrophages	CAR4	NA
Alveolar macrophages	EAR2	NA
Alveolar macrophages	TLR2	TIL4|CD282
Alveolar macrophages	GPNMB	NMB|HGFIN
Alveolar macrophages	MRC1	CLEC13D|CD206|bA541I19.1|CLEC13DL|MRC1L1
Alveolar macrophages	LYZ1	NA
Alveolar macrophages	MARCO	SCARA2|SR-A6
Alveolar macrophages	CSF2RB	IL5RB|CD131|betaGMR|IL3RB
Alveolar macrophages	MPP1	PEMP|DXS552E
Alveolar macrophages	TRIM25	EFP|RNF147|ZNF147
Alveolar macrophages	EAR1	NA
Alveolar macrophages	OLR1	LOX-1|SCARE1|CLEC8A
Alveolar macrophages	S100A4	P9KA|18A2|PEL98|42A|CAPL
Alveolar macrophages	GNGT2	GNG9
Alveolar macrophages	SIGLECF	NA
Anterior pituitary gland cells	AGA	ASRG
Anterior pituitary gland cells	ANGPT1	KIAA0003|Ang1
Anterior pituitary gland cells	CHGA	NA
Anterior pituitary gland cells	CPEB4	KIAA1673
Anterior pituitary gland cells	DDX26B	NA
Anterior pituitary gland cells	GH	NA
Anterior pituitary gland cells	IGSF1	KIAA0364|IGDC1|IGCD1|INHBP|MGC75490|PGSF2
Anterior pituitary gland cells	MEST	PEG1
Anterior pituitary gland cells	NKTR	p104
Anterior pituitary gland cells	NUCB2	NEFA
Anterior pituitary gland cells	PITX2	IGDS|Brx1|Otlx2|IRID2|IHG2|RIEG|RIEG1|RGS
Anterior pituitary gland cells	POU1F1	GHF-1|POU1F1a|PIT-1|PIT1
Anterior pituitary gland cells	PRL	NA
Anterior pituitary gland cells	RAB27A	RAB27|HsT18676
Anterior pituitary gland cells	RCN3	RLP49
Anterior pituitary gland cells	SEZ6L2	PSK-1|FLJ90517
Anterior pituitary gland cells	SIX6	Six9|OPTX2
Anterior pituitary gland cells	TBRG1	FLJ14621|TB-5|NIAM
Anterior pituitary gland cells	TMEM130	DKFZp761L1417|FLJ42643
Anterior pituitary gland cells	POMC	POC|ACTH|NPP|LPH
Anterior pituitary gland cells	GMPPA	NA
Anterior pituitary gland cells	TRIM30B	NA
Anterior pituitary gland cells	GNB3	NA
Anterior pituitary gland cells	HEPACAM2	FLJ38683
Anterior pituitary gland cells	ASB4	ASB-4
Anterior pituitary gland cells	RAX	RX
Anterior pituitary gland cells	NKX2-1	TTF-1|TTF1|NKX2A|BCH|TITF1
Anterior pituitary gland cells	FGF10	NA
Anterior pituitary gland cells	FSHB	NA
Anterior pituitary gland cells	PCSK1	PC1|NEC1
Anterior pituitary gland cells	GNRHR	LHRHR|GRHR
Anterior pituitary gland cells	PITX1	POTX|BFT
Anterior pituitary gland cells	GH1	GH-N|GHN|GH|hGH-N
Anterior pituitary gland cells	TSHB	NA
Anterior pituitary gland cells	PAX7	Hup1
Anterior pituitary gland cells	LHB	LSH-B|CGB4|hLHB
Astrocytes	S100B	S100beta
Astrocytes	SLC1A2	GLT-1|EAAT2
Astrocytes	GFAP	FLJ45472
Astrocytes	BYSL	Enp1
Astrocytes	ALDH1L1	10-fTHF|FTHFD
Astrocytes	CD40	Bp50|TNFRSF5
Astrocytes	SLC1A3	EAAT1|GLAST|EA6
Astrocytes	FGFR3	CEK2|JTK4|CD333|ACH
Astrocytes	GJB6	EDH|CX30|ED2
Astrocytes	AQP4	MIWC
Astrocytes	HTRA1	HtrA|IGFBP5-protease|ARMD7|PRSS11
Astrocytes	S100A8	P8|CGLA|CAGA
Astrocytes	CLDN10	OSP-L|CPETRL3
Astrocytes	ITIH3	H3P
Astrocytes	NKAIN4	bA261N11.2|FAM77A|C20orf58
Astrocytes	ACSL6	KIAA0837|LACS5|FACL6
Astrocytes	ACSBG1	BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG
Astrocytes	TRIL	KIAA0644
Astrocytes	AGT	SERPINA8
Astrocytes	GPR37L1	ETBR-LP-2
Astrocytes	SLC4A4	NBC1|HNBC1|NBC2|pNBC|hhNMC|SLC4A5
Astrocytes	NTSR2	NTR2
Astrocytes	SLC6A11	GAT3
Astrocytes	HSPA2	NA
Astrocytes	SLC16A2	XPCT|MCT8|DXS128|AHDS|MRX22
Astrocytes	SYNE1	SYNE-1B|KIAA0796|8B|Nesprin-1|enaptin|MYNE1|CPG2|dJ45H2.2|SCAR8|ARCA1|Nesp1|C6orf98
Astrocytes	DIO2	TXDI2|SelY
Astrocytes	SLC7A10	asc-1
Astrocytes	ENTPD2	NTPDase-2|CD39L1
Astrocytes	HSPB6	FLJ32389|Hsp20|PPP1R91
Astrocytes	PLXNB1	KIAA0407|PLXN5
Astrocytes	LCAT	NA
Astrocytes	PLA2G7	LDL-PLA2
Astrocytes	CMTM5	FLJ37521|CKLFSF5
Astrocytes	S1PR1	edg-1|D1S3362|CD363
Astrocytes	SLC39A12	FLJ30499
Astrocytes	LUZP2	NA
Astrocytes	GSTA4	NA
Astrocytes	SLC25A28	MRS3/4|MRS4L
Astrocytes	SLC25A46	NA
Astrocytes	WNT3	MGC131950|MGC138321|MGC138323
Astrocytes	FZD2	NA
Astrocytes	TEAD1	TEF-1|TCF13|AA
Astrocytes	RLBP1	CRALBP
Astrocytes	ALDOC	NA
Astrocytes	GJA1	CX43|ODOD|SDTY3|ODDD|GJAL
Astrocytes	APOE	AD2
Astrocytes	LCN2	NGAL|24p3
Astrocytes	SOX9	SRA1|CMD1|CMPD1
Astrocytes	VIM	NA
Astrocytes	CCR7	BLR2|CDw197|CD197|CMKBR7|EBI1
Astrocytes	AANAT	SNAT
Astrocytes	FABP7	B-FABP|BLBP
Astrocytes	SOCS3	SSI-3|CIS3|SOCS-3|Cish3
Astrocytes	SYNM	KIAA0353|DMN
Astrocytes	HMG20A	HMGX1|FLJ10739|HMGXB1
Astrocytes	NFATC3	NFAT4|NFATX
Astrocytes	SRR	ILV1
Astrocytes	SLC1A6	EAAT4
Astrocytes	ETS1	FLJ10768|ETS-1
Astrocytes	SLIT1	slit1|MEGF4|Slit-1|SLIT3|SLIL1
Astrocytes	SNPH	bA314N13.5
Astrocytes	IL23A	SGRF|IL23P19|IL-23|IL-23A|P19
B cells	CD2	NA
B cells	CD5	NA
B cells	MS4A1	Bp35|MS4A2|CD20
B cells	CR2	CD21|C3DR
B cells	CD22	SIGLEC-2|SIGLEC2
B cells	FCER2	CLEC4J|CD23|CD23A|FCE2
B cells	CD40	Bp50|TNFRSF5
B cells	CD69	CLEC2C
B cells	CD70	CD27L|CD27LG|TNFSF7
B cells	CD79A	MB-1|IGA
B cells	CD79B	IGB
B cells	CD80	B7.1|B7-1|CD28LG|CD28LG1
B cells	CD86	B7.2|B7-2|CD28LG2
B cells	TNFRSF9	CD137|4-1BB|ILA
B cells	SDC1	CD138|syndecan|SYND1|SDC
B cells	TNFSF4	OX-40L|gp34|CD252|TXGP1
B cells	TNFRSF13B	TACI|CD267|IGAD2
B cells	TNFRSF13C	BAFFR|CD268
B cells	PDCD1	CD279|hSLE1|PD-1|SLEB2
B cells	IGHD	FLJ00382|FLJ46727|MGC29633
B cells	IGHM	NA
B cells	RASGRP3	KIAA0846|GRP3|CalDAG-GEFIII
B cells	HLA-DRA	HLA-DRA1
B cells	LTB	TNFSF3|TNFC
B cells	HLA-DQA1	HLA-DQA
B cells	FLI1	SIC-1
B cells	CD14	NA
B cells	SEMA6D	KIAA1479|FLJ11598
B cells	LAIR1	CD305
B cells	IFIT3	ISG60|RIG-G|CIG-49|IFI60|GARG-49|IRG2|IFIT4
B cells	IGLL1	IGVPB|IGL5|14.1|CD179B|IGLL
B cells	DNTT	TDT
B cells	MME	CALLA|CD10
B cells	SPN	LSN|CD43|GPL115
B cells	CD19	NA
B cells	CD24	CD24A
B cells	CD27	S152|Tp55|TNFRSF7
B cells	B3GAT1	GlcAT-P|HNK-1|NK-1|CD57|LEU7
B cells	CD72	LYB2|CD72b
B cells	MUM1	MUM-1|EXPAND1
B cells	PAX5	BSAP
B cells	JCHAIN	IGCJ|JCH|IGJ
B cells	MZB1	MGC29506|HSPC190|pERp1|MEDA-7
B cells	LY6D	E48
B cells	H2-DMB2	NA
B cells	FCMR	TOSO|FAIM3
B cells	BANK1	BANK|FLJ20706
B cells	EDEM1	KIAA0212|EDEM
B cells	VPREB3	8HS20
B cells	H2-OB	NA
B cells	POU2AF1	OBF1|BOB1
B cells	CRELD2	MGC11256
B cells	DERL3	FLJ43842|MGC71803|derlin-3|IZP6|C22orf14
B cells	SIGLECG	NA
B cells	RALGPS2	FLJ10244|FLJ25604
B cells	FCHSD2	KIAA0769|SH3MD3
B cells	POLD4	POLDS
B cells	CMAH	NA
B cells	TNFRSF17	BCM|CD269|TNFRSF13A|BCMA
B cells	HVCN1	MGC15619|Hv1|VSOP
B cells	TRP53INP1	NA
B cells	FCRLA	MGC4595|FCRLc2|FCRLb|FCRLc1|FCRLd|FCRLe|FCRL|FCRLa|FREB|FCRLX|FCRLM1
B cells	EDEM2	FLJ10783|bA4204.1|C20orf49|C20orf31
B cells	BLNK	SLP65|Ly57|SLP-65|BLNK-s|BASH|bca
B cells	H2-OA	NA
B cells	TXNDC11	EFP1
B cells	BTLA	BTLA1|CD272
B cells	SMAP2	SMAP1L
B cells	SCD1	NA
B cells	FAM46C	NA
B cells	FKBP11	FKBP19
B cells	SEC61A1	NA
B cells	SPCS3	FLJ22649|SPC22/23|YLR066W|PRO3567
B cells	SPIB	SPI-B
B cells	EAF2	BM040|TRAITS
B cells	CXCR4	LESTR|NPY3R|HM89|NPYY3R|D2S201E|fusin|HSY3RR|CD184
B cells	BIRC3	cIAP2|hiap-1|MIHC|RNF49|MALT2|c-IAP2|API2
B cells	IGLC2	NA
B cells	IGLC3	NA
B cells	IGLC1	NA
B cells	IL21R	CD360
B cells	IGKC	HCAK1
B cells	IGLV1	1810027O01Rik
B cells	VPREB1	VpreB|CD179A
B cells	VPREB2	NA
B cells	LRMP	JAW1
B cells	KLHL6	FLJ00029
B cells	SLAMF6	KALI|NTBA|KALIb|Ly108|SF2000|NTB-A|CD352
B cells	FAM129C	FLJ39802|BCNP1
B cells	BST1	CD157
B cells	MSH5	G7
B cells	DOK3	FLJ22570
B cells	BACH2	BTBD25
B cells	FCER2A	NA
B cells	PXK	FLJ20335|Slob
B cells	IGHG1	NA
B cells	IGHG3	NA
B cells	IGHG4	NA
B cells	IGHA	IgA|Igh-2
B cells	CD38	NA
B cells	PTPRC	T200|CD45
B cells	EBF1	COE1|EBF
B cells	BCL11A	BCL11A-XL|BCL11A-L|BCL11A-S|CTIP1|HBFQTL5|ZNF856|EVI9
B cells	CCR7	BLR2|CDw197|CD197|CMKBR7|EBI1
B cells	CD55	TC|CROM|DAF
B cells	CD74	DHLAG
B cells	CD52	HE5|EDDM5|CDW52
B cells	TLR9	CD289
B cells	SWAP70	KIAA0640|SWAP-70
B cells	HMGA1	HMGIY
B cells memory	CD38	NA
B cells memory	CD80	B7.1|B7-1|CD28LG|CD28LG1
B cells memory	CD84	SLAMF5|hCD84|mCD84
B cells memory	CD86	B7.2|B7-2|CD28LG2
B cells memory	NT5E	CD73|eN|eNT|CALJA|NT5
B cells memory	PAX5	BSAP
B cells memory	PTPRC	T200|CD45
B cells memory	SPIB	SPI-B
B cells memory	ADAM28	eMDCII|MDC-Lm|MDC-Ls|ADAM23
B cells memory	AIM2	PYHIN4
B cells memory	ALOX5	5-LOX
B cells memory	BACH2	BTBD25
B cells memory	BANK1	BANK|FLJ20706
B cells memory	BLK	MGC10442
B cells memory	CCR6	CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196|STRL22
B cells memory	CD180	RP105|Ly78|LY64
B cells memory	CD19	NA
B cells memory	CD1C	NA
B cells memory	CD22	SIGLEC-2|SIGLEC2
B cells memory	CD27	S152|Tp55|TNFRSF7
B cells memory	CD37	TSPAN26
B cells memory	CD69	CLEC2C
B cells memory	CD72	LYB2|CD72b
B cells memory	CD79A	MB-1|IGA
B cells memory	CD79B	IGB
B cells memory	CLCA3P	CLCA3
B cells memory	CR2	CD21|C3DR
B cells memory	CXCR5	MDR15|CD185|BLR1
B cells memory	DENND5B	MGC24039
B cells memory	FCGR2B	CD32B
B cells memory	FCRL2	FCRH2|IRTA4|CD307b|SPAP1
B cells memory	FRK	RAK|PTK5
B cells memory	GNG7	FLJ00058
B cells memory	GPR18	NA
B cells memory	GUSBP11	NA
B cells memory	HHEX	HEX|HOX11L-PEN|PRHX
